party,2019,2020,2021,2022,2023,2024,2025,2026
WRECKED,6,2,4,11,11,12,12,4
FIST,2,1,2,8,5,6,6,2
BOUND BLACKOUT,1,0,2,5,5,5,5,2
ALTÆR,0,1,0,6,5,5,3,2
BALANCE,1,1,0,5,3,3,2,0
X-TRA.SERVICES,0,0,0,3,3,1,2,0
HERRENSAUNA,0,0,0,2,1,2,3,0
MALA JUNTA,0,0,0,0,2,1,2,1
BASEMENT ANNIVERSARY,0,0,0,1,1,1,1,2
PORNCEPTUAL,0,0,0,0,1,2,1,1
DWELLER,0,0,0,0,1,1,0,2
BASSIANI,0,0,0,0,0,1,1,1
LOCALS NIGHT,0,0,0,0,0,0,2,1
MORD NIGHT,0,0,0,1,1,1,0,0
aufnahme + wiedergabe,0,0,0,2,1,0,0,0
THE BUNKER,2,1,0,0,0,0,0,0
TRESOR NIGHT,0,0,0,0,0,0,1,1
MUTUAL RYTM NIGHT,0,0,0,0,0,1,1,0
FAST FORWARD NIGHT,0,0,0,1,0,1,0,0
L.I.E.S. NIGHT,0,0,0,1,1,0,0,0
STAUB,1,0,0,1,0,0,0,0
UNITED WE STREAM,0,2,0,0,0,0,0,0
SPIELRAUM,0,0,0,0,0,0,0,1
BULTO,0,0,0,0,0,0,1,0
VAULT SESSIONS,0,0,0,0,0,0,1,0
MAMA TOLD YA,0,0,0,0,0,1,0,0
rural,0,0,0,0,0,1,0,0
BCCO,0,0,0,0,0,1,0,0
SPANDAU20 NIGHT,0,0,0,0,0,1,0,0
RECLAIM YOUR CITY,0,0,0,0,0,1,0,0
BITE NITE,0,0,0,0,1,0,0,0
VESELKA,0,0,0,0,1,0,0,0
EXALT,0,0,0,1,0,0,0,0
POSSESSION,0,0,0,1,0,0,0,0
SONIC GROOVE NIGHT,0,0,1,0,0,0,0,0
BITE NIGHT,0,0,1,0,0,0,0,0
QUA VADIS,1,0,0,0,0,0,0,0
LOCALS NIGHT: Joey Beltram/ Rose Kourts/ SisterZo/ Markus/ Servito/ L.Flax/ Meilgaarden & more,0,0,0,0,0,0,0,1
Locals Night: Volvox/ Dominga/ KYRUH/ Annie Lew/ x3butterfly/ Eli/ Kilopatrah /Sterling /Alexis,0,0,0,0,0,0,1,0
Vault Sessions: Lobster/ LYDO/ Mike Servito/ Shaun J. Wright/ Physical Therapy,0,0,0,0,0,0,1,0
Daniel Avery/ Justine Perry/ LYDO/ Por Detroit: Zombies In Miami /PerfectLovers/VictorRodriguez,0,0,0,0,0,0,1,0
Regal/ Mos/ Memphy/ Por Detroit: Perfect Lovers b2b Victor Rodriguez/ Manu Miran/ x3butterfly,0,0,0,0,0,0,1,0
Mutual Rytm Night: SHDW/ RUIZ OSC1/ Selective Response/ Kevin Aviance/ JADALAREIGN/Jason Kendig,0,0,0,0,0,1,0,0
Kangding Ray/ Clarisa Kimskii/ Ne/Re/A/ Connor Wrong/ Tama Sumo/ Lakuti/ Mike Servito/ CHOQUE,0,0,0,0,1,0,0,0
Pornceptual,0,0,0,0,1,0,0,0
LYDO/ KYRUH/ DAIYAH/ Concrete Husband/ Massimiliano Pagliara/ Tama Sumo/ Lakuti/ x3butterfly,0,0,0,0,1,0,0,0
New York Trax x Voitax,1,0,0,0,0,0,0,0
Cxema Backstage,1,0,0,0,0,0,0,0
FOURTH WORLD,1,0,0,0,0,0,0,0
"Horse Meat Disco NYC Pride w/ Steffi, Aurora Halal",1,0,0,0,0,0,0,0
