DJ,Soundcloud Link,Soundcloud_User_ID_Link,Soundcloud_User_ID
RON LIKE HELL,https://soundcloud.com/ronlikehell,soundcloud://users:565300,565300
RYAN SMITH,https://soundcloud.com/mistersmithnyc,soundcloud://users:426260,426260
WORD OF COMMAND,https://soundcloud.com/wordofcommand,soundcloud://users:2828366,2828366
LYDO,https://soundcloud.com/lydole,soundcloud://users:6737198,6737198
DJ CLONE,https://soundcloud.com/djclone1,soundcloud://users:4899464,4899464
MIKE SERVITO,https://soundcloud.com/mikeservito,soundcloud://users:170303,170303
KATIE REX,https://soundcloud.com/katierexofficial,soundcloud://users:3068582,3068582
AUSPEX,https://soundcloud.com/djauspex,soundcloud://users:143256681,143256681
VOLVOX,https://soundcloud.com/volvox,soundcloud://users:5506,5506
JUSTIN CUDMORE,https://soundcloud.com/cudmore,soundcloud://users:42920,42920
JASON KENDIG,https://soundcloud.com/kendig,soundcloud://users:182791,182791
FUNCTION,,,
ELLE DEE,https://soundcloud.com/djelledee,soundcloud://users:12991589,12991589
THE CARRY NATION,https://soundcloud.com/the-carry-nation,soundcloud://users:7140237,7140237
UMFANG,https://soundcloud.com/umfang,soundcloud://users:8011476,8011476
KYRUH,https://soundcloud.com/kyruhx,soundcloud://users:723703534,723703534
JEK,,,
HARUKA,https://soundcloud.com/haruka_ptc,soundcloud://users:244907533,244907533
DEE DIGGS,https://soundcloud.com/dee_diggs,soundcloud://users:28228769,28228769
ANALOG SOUL,https://soundcloud.com/analogsoul_nyc,soundcloud://users:847422,847422
ROSE KOURTS,https://soundcloud.com/rosekourts,soundcloud://users:71418829,71418829
RACHEL NOON,https://soundcloud.com/wasps-world,soundcloud://users:304028042,304028042
NE/RE/A,https://soundcloud.com/nereadelrio,soundcloud://users:50441443,50441443
MATAS,https://soundcloud.com/matas0,soundcloud://users:29119267,29119267
JUANA,https://soundcloud.com/thatjuana,soundcloud://users:3876748,3876748
TT,https://soundcloud.com/tt-britt,soundcloud://users:69634669,69634669
