date,event_title,stage,DJ
2026-02-14 22:30:00,BOYS NOIZE / JULIANA HUXTABLE / KATIE REX / ISABELLA / ALÍRIO B2B MARKUS / E-LITE,Basement,BOYS NOIZE
2026-02-14 22:30:00,BOYS NOIZE / JULIANA HUXTABLE / KATIE REX / ISABELLA / ALÍRIO B2B MARKUS / E-LITE,Basement,JULIANA HUXTABLE
2026-02-14 22:30:00,BOYS NOIZE / JULIANA HUXTABLE / KATIE REX / ISABELLA / ALÍRIO B2B MARKUS / E-LITE,Basement,KATIE REX
2026-02-14 22:30:00,BOYS NOIZE / JULIANA HUXTABLE / KATIE REX / ISABELLA / ALÍRIO B2B MARKUS / E-LITE,Studio,ISABELLA
2026-02-14 22:30:00,BOYS NOIZE / JULIANA HUXTABLE / KATIE REX / ISABELLA / ALÍRIO B2B MARKUS / E-LITE,Studio,ALÍRIO
2026-02-14 22:30:00,BOYS NOIZE / JULIANA HUXTABLE / KATIE REX / ISABELLA / ALÍRIO B2B MARKUS / E-LITE,Studio,MARKUS
2026-02-14 22:30:00,BOYS NOIZE / JULIANA HUXTABLE / KATIE REX / ISABELLA / ALÍRIO B2B MARKUS / E-LITE,Studio,E-LITE
2026-02-13 22:30:00,,Basement,DR. RUBINSTEIN
2026-02-13 22:30:00,,Basement,MIKE SERVITO
2026-02-13 22:30:00,,Basement,ROSE KOURTS
2026-02-13 22:30:00,,Studio,JEN CARDINI
2026-02-13 22:30:00,,Studio,MAARA
2026-02-13 22:30:00,,Studio,MICHAEL CIGNARALE
2026-02-07 22:30:00,WRECKED,Basement,VERRACO
2026-02-07 22:30:00,WRECKED,Basement,NE/RE/A
2026-02-07 22:30:00,WRECKED,Basement,RYAN SMITH
2026-02-07 22:30:00,WRECKED,Studio,PAUL FLEETWOOD
2026-02-07 22:30:00,WRECKED,Studio,LOVE LETTERS
2026-02-07 22:30:00,WRECKED,Studio,RON LIKE HELL
2026-02-06 22:30:00,SPIELRAUM,Basement,MAMA SNAKE
2026-02-06 22:30:00,SPIELRAUM,Basement,RÆZA
2026-02-06 22:30:00,SPIELRAUM,Basement,LYDO
2026-02-06 22:30:00,SPIELRAUM,Studio,PABLO BOZZI
2026-02-06 22:30:00,SPIELRAUM,Studio,FAUSTIN
2026-02-06 22:30:00,SPIELRAUM,Studio,MEILGAARDEN
2026-01-31 22:30:00,BOUND BLACKOUT,Basement,GRACE DAHL
2026-01-31 22:30:00,BOUND BLACKOUT,Basement,JOHN BRYARS
2026-01-31 22:30:00,BOUND BLACKOUT,Basement,KATIE REX
