date,event_title,stage,DJ
3/8/25 22:30,,Basement,DJ BONE
3/8/25 22:30,,Basement,MIKE SERVITO
3/8/25 22:30,,Basement,ROSE KOURTS
3/8/25 22:30,,Studio,FKA.M4A
3/8/25 22:30,,Studio,JASON KENDIG
3/8/25 22:30,,Studio,COSMO
3/7/25 22:30,BASSIANI NIGHT,Basement,NEWA
3/7/25 22:30,BASSIANI NIGHT,Basement,NDRX
3/7/25 22:30,BASSIANI NIGHT,Basement,KANCHELI
3/7/25 22:30,BASSIANI NIGHT,Basement,NEBBIERI
3/7/25 22:30,BASSIANI NIGHT,Studio,GABRIELLE KWARTENG
3/7/25 22:30,BASSIANI NIGHT,Studio,98DOTS
3/7/25 22:30,BASSIANI NIGHT,Studio,DJ SURGE
3/1/25 22:30,ALTÆR,Basement,LADY STARLIGHT LIVE
3/1/25 22:30,ALTÆR,Basement,STERAC
3/1/25 22:30,ALTÆR,Basement,AUSPEX
3/1/25 22:30,ALTÆR,Studio,DAVID ELIMELECH
3/1/25 22:30,ALTÆR,Studio,LOREN
3/1/25 22:30,ALTÆR,Studio,S'AINT PANIC
2/28/25 22:30,X-TRA.SERVICES,Basement,STEF MENDESIDIS
2/28/25 22:30,X-TRA.SERVICES,Basement,YANT
2/28/25 22:30,X-TRA.SERVICES,Basement,ÆON
2/28/25 22:30,X-TRA.SERVICES,Studio,HAAI
2/28/25 22:30,X-TRA.SERVICES,Studio,K WATA
2/28/25 22:30,X-TRA.SERVICES,Studio,LYDO
2/22/25 22:30,WRECKED,Basement,JASON KENDIG
2/22/25 22:30,WRECKED,Basement,RYAN SMITH
2/22/25 22:30,WRECKED,Studio,JADALAREIGN
2/22/25 22:30,WRECKED,Studio,RON LIKE HELL
2/21/25 22:30,FIST,Basement,X CLUB.
2/21/25 22:30,FIST,Basement,LDS
2/21/25 22:30,FIST,Basement,WORD OF COMMAND
2/21/25 22:30,FIST,Basement,DJ CLONE
